date,rate
20160101,4.736302956655535
20160102,4.745736914876929
20160103,4.745175094579164
20160104,4.682148167647799
20160105,4.660563538304211
20160106,4.622319474527024
20160107,4.625037670094967
20160108,4.610114079604077
20160109,4.5791375409683335
20160110,4.579310661291825
20160111,4.587062058568996
20160112,4.584922567992909
20160113,4.596222541830948
20160114,4.59838148481176
20160115,4.510836483799219
20160116,4.515187856849801
20160117,4.514441396703774
20160118,4.512466035733361
20160119,4.5553407714359135
20160120,4.511281320141791
20160121,4.6008938166263595
20160122,4.608911522215762
20160123,4.607359217929909
20160124,4.607321402936265
20160125,4.589723859506905
20160126,4.617404805302868
20160127,4.6488881602100856
20160128,4.664717690452546
20160129,4.655330567394968
20160130,4.65867281407651
20160131,4.6588917234544045
20160201,4.660027803101943
20160202,4.645091406555521
20160203,4.699852805624825
20160204,4.738934464670953
20160205,4.654417938215269
20160206,4.645542812321129
20160207,4.646150519122845
20160208,4.667592326983649
20160209,4.654089154586156
20160210,4.663803592192441
20160211,4.662939021716689
20160212,4.669017041042992
20160213,4.666288083661632
20160214,4.666642027972973
20160215,4.647611353037992
20160216,4.628803023599501
20160217,4.681637408106696
20160218,4.660709761450211
20160219,4.647249504570917
20160220,4.662705987488829
20160221,4.662848972296694
20160222,4.723959793128271
20160223,4.70544474696643
20160224,4.686573548123646
20160225,4.706500703919905
20160226,4.6588007772779445
20160227,4.658870076386251
20160228,4.660466355914751
20160229,4.683308164444369
20160301,4.695606372229348
20160302,4.761673572414415
20160303,4.8110420084086
20160304,4.841387927134643
20160305,4.850267904836869
20160306,4.844866657639789
20160307,4.875963455087379
20160308,4.853859441333449
20160309,4.896834514200479
20160310,4.841770621886643
20160311,4.911381665657191
20160312,4.912937581313726
20160313,4.912937581313726
20160314,4.8687751244975095
20160315,4.855486804247156
20160316,4.8505685736155355
20160317,4.95901150430838
20160318,4.925757699124068
20160319,4.921756285431367
20160320,4.921969234887813
20160321,4.915882066520744
20160322,4.941826018749095
20160323,4.943123895577284
20160324,4.901481799230879
20160325,4.890161414931501
20160326,4.889621906222171
20160327,4.890462882174764
20160328,4.902310545664088
20160329,4.945522721104159
20160330,4.959238505703085
20160331,4.951269728122676
20160401,4.967182028659416
20160402,4.974141319535076
20160403,4.975409571772943
20160404,4.937210443539539
20160405,4.8731435475959035
20160406,4.924556693055206
20160407,4.852225025401204
20160408,4.8862995220192325
20160409,4.88347685805478
20160410,4.882520697921371
20160411,4.91360415775997
20160412,4.954022178222677
20160413,4.956164890898128
20160414,4.993252849391978
20160415,5.001814139164322
20160416,5.003418075866607
20160417,5.003082061628874
20160418,5.019887596899224
20160419,5.0549719078301845
20160420,5.055109902560616
20160421,5.027368785323447
20160422,5.0034161213196775
20160423,5.010555403919609
20160424,5.011674168790855
20160425,5.009398892097109
20160426,5.025246211095553
20160427,4.931687911387119
20160428,4.946384054180967
20160429,4.926119712337467
20160430,4.925737460770936
20160501,4.925129724031234
20160502,4.953027479991189
20160503,4.861667821065225
20160504,4.844971798272244
20160505,4.857556179082986
20160506,4.786700070032189
20160507,4.787477889829653
20160508,4.786978408097203
20160509,4.766639073635335
20160510,4.789067012756425
20160511,4.800098108819525
20160512,4.768276323387239
20160513,4.747309962828577
20160514,4.74718791181873
20160515,4.748475929978913
20160516,4.756492458172834
20160517,4.780065931650855
20160518,4.759530253681361
20160519,4.720542621389989
20160520,4.728930284539346
20160521,4.72784524474055
20160522,4.72784524474055
20160523,4.726804264980369
20160524,4.705876736628331
20160525,4.711311635060786
20160526,4.730760434410269
20160527,4.724509761575674
20160528,4.7147406128806795
20160529,4.7155436889926134
20160530,4.726464399452006
20160531,4.76762795790974
20160601,4.765698743520894
20160602,4.757653474161305
20160603,4.81778928427807
20160604,4.836121280874542
20160605,4.834371754167557
20160606,4.835928254832754
20160607,4.89321800925988
20160608,4.9089866274030936
20160609,4.876321421381789
20160610,4.847086571829991
20160611,4.839035760081464
20160612,4.8391861829245
20160613,4.869499591575807
20160614,4.853938191681603
20160615,4.8705426201747555
20160616,4.84690391992372
20160617,4.869051507175654
20160618,4.869096211637207
20160619,4.869139099879321
20160620,4.908912953309123
20160621,4.9194223476002765
20160622,4.939295778772445
20160623,4.991756177744184
20160624,4.929622520793346
20160625,4.9348562606855495
20160626,4.93506399373513
20160627,4.881720524941791
20160628,4.893825486359266
20160629,4.930172698125935
20160630,4.940105595835658
20160701,4.980576086598592
20160702,4.991933034512393
20160703,4.991709556245654
20160704,5.022736682697783
20160705,4.984142899057309
20160706,5.022151851217879
20160707,5.00198948372972
20160708,5.057722511802289
20160709,5.063999697136043
20160710,5.064241231141986
20160711,5.040962864553679
20160712,5.118718047983303
20160713,5.087684376723924
20160714,5.107654091193195
20160715,5.075300605992543
20160716,5.068141863834482
20160717,5.069089815168434
20160718,5.084544965405972
20160719,5.02122738960925
20160720,5.019324755223768
20160721,5.002732756359822
20160722,4.979965147051257
20160723,4.986766984672255
20160724,4.988149282153725
20160725,4.9866990218771
20160726,5.01449388606097
20160727,4.978865234994496
20160728,4.998950608016814
20160729,5.039259259259259
20160730,5.046686809950022
20160731,5.045354312752979
20160801,5.025732187663346
20160802,4.997712696303083
20160803,5.0473454113012055
20160804,5.052154794052286
20160805,5.0646965081245625
20160806,5.0703866514040445
20160807,5.071756171988007
20160808,5.100390159854505
20160809,5.106446528217224
20160810,5.126872520769765
20160811,5.112829170521122
20160812,5.080729671144161
20160813,5.0778159049480465
20160814,5.0774187327528555
20160815,5.099857621768733
20160816,5.098975631334987
20160817,5.057674755523362
20160818,5.094303328275942
20160819,5.062737263193814
20160820,5.071070951999695
20160821,5.071711464409623
20160822,5.073179644610723
20160823,5.074050381679389
20160824,5.0658833128589675
20160825,5.066847323450493
20160826,5.061076134421872
20160827,5.0441565809379725
20160828,5.045499243570347
20160829,5.054638426960679
20160830,5.019760276546179
20160831,5.022461660178929
20160901,5.038502132799819
20160902,5.051346503446795
20160903,5.060503153896674
20160904,5.06119400384664
20160905,5.068523395696558
20160906,5.123208781929491
20160907,5.112035238182162
20160908,5.101622286017359
20160909,5.046541976742605
20160910,5.038920590620227
20160911,5.0397405193384746
20160912,5.033955669384757
20160913,4.980093172331545
20160914,4.993594706413448
20160915,5.005631825062372
20160916,4.997435615141554
20160917,4.998449926017494
20160918,4.998536832050346
20160919,5.036223778864491
20160920,5.0357903935139765
20160921,5.059614297904617
20160922,5.095434587385597
20160923,5.084846003470602
20160924,5.087568453969949
20160925,5.087903287315995
20160926,5.094008578601783
20160927,5.110866383109169
20160928,5.112442286168675
20160929,5.116834913445668
20160930,5.113973474394357
20161001,5.110125840372349
20161002,5.110243827692543
20161003,5.113343703259627
20161004,5.0812918714988005
20161005,5.085432663865188
20161006,5.064282935487596
20161007,5.046218506465507
20161008,5.077474862888483
20161009,5.063051734931988
20161010,5.099966283916819
20161011,5.066083250033006
20161012,5.0824426418380035
20161013,5.08616393531882
20161014,5.1255413333333335
20161015,5.12567026630848
20161016,5.126105301332228
20161017,5.134756023177798
20161018,5.172625479662318
20161019,5.201356494885157
20161020,5.147833422398656
20161021,5.137037022966016
20161022,5.14666641301246
20161023,5.147517169219062
20161024,5.1470456575022325
20161025,5.184642863972768
20161026,5.202571161409836
20161027,5.149970570924073
20161028,5.143025382251395
20161029,5.15032619640177
20161030,5.149939396242186
20161031,5.156298385544386
20161101,5.176550748465789
20161102,5.1852955074762885
20161103,5.19289339711684
20161104,5.188917847582393
20161105,5.184434844472005
20161106,5.184709592306446
20161107,5.215364392625054
20161108,5.252294912955849
20161109,5.185242324764265
20161110,5.174937576126674
20161111,5.14549687269704
20161112,5.14258591730047
20161113,5.143591446958688
20161114,5.158641486674959
20161115,5.172780557886286
20161116,5.157993030126872
20161117,5.1135979195708225
20161118,5.051756543445542
20161119,5.055418662262593
20161120,5.055661620332141
20161121,5.073219151764618
20161122,5.095048340881782
20161123,5.105888811796983
20161124,5.1206843430602875
20161125,5.140200726144547
20161126,5.151369201198805
20161127,5.150885331911999
20161128,5.16475537538996
20161129,5.154728404058523
20161130,5.0916118779681065
20161201,5.0978159409293635
20161202,5.1303611031621115
20161203,5.136560471536223
20161204,5.136643288815936
20161205,5.1527386365762835
20161206,5.142190209417101
20161207,5.168878611818199
20161208,5.15797897021993
20161209,5.134679636208083
20161210,5.144689444465144
20161211,5.145167107567346
20161212,5.17802298333427
20161213,5.173920311103916
20161214,5.187105101432115
20161215,5.101964929625331
20161216,5.073761514747998
20161217,5.083024981265147
20161218,5.083047257322328
20161219,5.046868286905329
20161220,5.041751048853659
20161221,5.032285375464275
20161222,5.0092360560058875
20161223,4.980658299005848
20161224,4.983899297423887
20161225,4.981854694111741
20161226,4.996557843692293
20161227,4.997168091725078
20161228,4.992614136521175
20161229,5.012326515375896
20161230,5.012019811941003
20161231,5.001224254644966
20170101,5.005910761911627
